City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,32.41,88,42,9.1,GS,1697532205
1,ushuaia,-54.8,-68.3,44.26,70,75,13.8,AR,1697532080
2,kuala terengganu,5.3302,103.1408,85.95,79,20,7.0,MY,1697532309
3,port mathurin,-19.6833,63.4167,76.66,81,2,11.99,MU,1697532310
4,nizhnesortymskiy,62.4397,71.7603,50.45,88,98,11.12,RU,1697532311
5,salinopolis,-0.6136,-47.3561,78.39,86,66,8.99,BR,1697532312
6,san antonio de pale,-1.4014,5.6325,78.33,80,100,5.88,GQ,1697532314
7,longyearbyen,78.2186,15.6401,24.64,63,75,11.5,SJ,1697532315
8,bredasdorp,-34.5322,20.0403,75.56,50,0,5.75,ZA,1697532316
9,enewetak,11.3474,162.3373,84.34,76,3,14.61,MH,1697532317
10,prince rupert,54.3161,-130.3201,53.69,92,100,24.16,CA,1697532213
11,ilulissat,69.2167,-51.1,15.82,53,32,10.36,GL,1697532319
12,bethel,41.3712,-73.414,50.94,87,75,0.0,US,1697532121
13,adamstown,-25.066,-130.1015,70.9,90,27,7.94,PN,1697532220
14,khandyga,62.6667,135.6,13.32,90,98,3.06,RU,1697532323
15,fale old settlement,-9.3852,-171.2468,82.31,80,100,14.67,TK,1697532324
16,cova figueira,14.8905,-24.2934,78.67,65,7,10.54,CV,1697532325
17,alofi,-19.0595,-169.9187,71.49,83,100,14.97,NU,1697532327
18,sterling,39.0062,-77.4286,52.9,82,75,8.05,US,1697532220
19,praia da vitoria,38.7333,-27.0667,66.76,94,75,5.37,PT,1697532329
20,myitkyina,25.3833,97.4,89.83,43,6,1.95,MM,1697532330
21,puerto natales,-51.7236,-72.4875,40.78,92,99,7.83,CL,1697532209
22,mitchell,43.7094,-98.0298,39.18,87,0,3.44,US,1697532332
23,ust-nera,64.5667,143.2,-5.33,95,23,1.92,RU,1697532334
24,aioun,16.6614,-9.6149,91.49,9,0,8.9,MR,1697532335
25,labuan,5.2767,115.2417,88.16,66,20,10.36,MY,1697532336
26,ribeira grande,38.5167,-28.7,68.4,77,40,17.27,PT,1697532337
27,misratah,32.3754,15.0925,78.55,38,0,11.16,LY,1697532339
28,lospalos,-8.5186,127.0025,75.47,71,49,7.38,TL,1697532340
29,port-aux-francais,-49.35,70.2167,36.82,79,80,28.1,TF,1697532341
30,konarka,19.9,86.1167,91.8,55,31,3.42,IN,1697532342
31,mount gambier,-37.8333,140.7667,51.08,76,0,6.93,AU,1697532343
32,waitangi,-43.9535,-176.5597,52.83,92,100,1.01,NZ,1697532346
33,hastings,50.8552,0.5729,53.92,30,100,22.62,GB,1697532322
34,kourou,5.1552,-52.6478,73.45,88,13,5.95,GF,1697532349
35,al ghayzah,16.2079,52.176,86.52,46,6,10.69,YE,1697532352
36,viedma,-40.8135,-62.9967,41.99,64,0,7.29,AR,1697532353
37,tralee,52.2704,-9.7026,52.05,87,100,11.5,IE,1697532354
38,alto araguaia,-17.3147,-53.2153,74.12,51,46,4.88,BR,1697532355
39,jamestown,42.097,-79.2353,47.79,99,100,1.99,US,1697532066
40,siuna,13.7332,-84.7773,71.42,98,95,3.0,NI,1697532358
